nba_team_city
Atlanta
Boston
Brooklyn
Charlotte
Chicago
Cleveland
Dallas
Denver
Detroit
Golden State
Houston
Indiana
LA
Los Angeles
Memphis
Miami
Milwaukee
Minnesota
New Orleans
New York
Oklahoma City
Orlando
Philadelphia
Phoenix
Portland
Sacramento
San Antonio
Toronto
Utah
Washington
